name,region,geo_lat,geo_lon
Щелкино,Крым,45.4288991,35.825165
Ялта,Крым,44.4164605,34.0444797
Далматово,Курганская область,56.262114,62.9387011
Катайск,Курганская область,56.290809,62.5800359
Курган,Курганская область,55.4443883,65.3161963
Куртамыш,Курганская область,54.9368539,64.4203722
Макушино,Курганская область,55.2153947,67.2451705
Петухово,Курганская область,55.0650077,67.8873408
Шадринск,Курганская область,56.0870344,63.6297182
Шумиха,Курганская область,55.2280246,63.2901272
Щучье,Курганская область,55.2087637,62.7478548
Дмитриев,Курская область,52.1268464,35.0739038
Железногорск,Курская область,52.3380202,35.3516867
Курск,Курская область,51.7303637,36.1925603
Курчатов,Курская область,51.6604083,35.6572224
Льгов,Курская область,51.6597148,35.2612491
Обоянь,Курская область,51.2119324,36.2755133
Рыльск,Курская область,51.5681314,34.6802597
Суджа,Курская область,51.1918927,35.2720915
Фатеж,Курская область,52.0917728,35.8538706
Щигры,Курская область,51.8786014,36.8910945
Бокситогорск,Ленинградская область,59.4734797,33.845688
Волосово,Ленинградская область,59.4445408,29.4923355
Волхов,Ленинградская область,59.9005958,32.3520756
Всеволожск,Ленинградская область,60.0191278,30.6456718
Выборг,Ленинградская область,60.7130801,28.7328336
Высоцк,Ленинградская область,60.6296236,28.5709314
Гатчина,Ленинградская область,59.565237,30.1282473
Ивангород,Ленинградская область,59.3766119,28.2231659
Каменногорск,Ленинградская область,60.950855,29.1308372
Кингисепп,Ленинградская область,59.3740435,28.6112444
Кириши,Ленинградская область,59.4742862,32.0624947
Кировск,Ленинградская область,59.8754216,30.981364
Коммунар,Ленинградская область,59.6215133,30.3934125
Кудрово,Ленинградская область,59.9075226,30.5121008
Лодейное Поле,Ленинградская область,60.7320936,33.5521022
Луга,Ленинградская область,58.7374031,29.8465776
Любань,Ленинградская область,59.3493847,31.2484801
Мурино,Ленинградская область,60.044862,30.4571456
Никольское,Ленинградская область,59.7043309,30.7874571
Новая Ладога,Ленинградская область,60.1100135,32.3141203
Отрадное,Ленинградская область,59.7726848,30.7988557
Пикалево,Ленинградская область,59.5132022,34.1772776
Подпорожье,Ленинградская область,60.9127549,34.1567664
Приморск,Ленинградская область,60.3660209,28.6135772
Приозерск,Ленинградская область,61.0330896,30.1587851
Светогорск,Ленинградская область,61.1111282,28.8725865
Сертолово,Ленинградская область,60.1446932,30.2095918
Сланцы,Ленинградская область,59.1178185,28.0881475
Сосновый Бор,Ленинградская область,59.8772884,29.1291619
Сясьстрой,Ленинградская область,60.1401739,32.5601559
Тихвин,Ленинградская область,59.6272904,33.5072731
Тосно,Ленинградская область,59.5407098,30.877812
Шлиссельбург,Ленинградская область,59.9443714,31.0333365
Грязи,Липецкая область,52.4874097,39.9331142
Данков,Липецкая область,53.2577411,39.1456184
Елец,Липецкая область,52.6152411,38.5289342
Задонск,Липецкая область,52.4004179,38.9205032
Лебедянь,Липецкая область,53.0156117,39.143536
Липецк,Липецкая область,52.610249,39.5947883
Усмань,Липецкая область,52.0442648,39.726401
Чаплыгин,Липецкая область,53.24048,39.9670973
Магадан,Магаданская область,59.5681332,150.8084956
Сусуман,Магаданская область,62.7805882,148.1540281
Волжск,Марий Эл,55.8623156,48.3715083
Звенигово,Марий Эл,55.9738571,48.0170245
Йошкар-Ола,Марий Эл,56.6343662,47.8999706
Козьмодемьянск,Марий Эл,56.3334036,46.546675
Ардатов,Мордовия,54.8465544,46.2411232
Инсар,Мордовия,53.8770022,44.3696566
Ковылкино,Мордовия,54.0391072,43.9191539
Краснослободск,Мордовия,54.4248207,43.7845011
Рузаевка,Мордовия,54.0581967,44.9490466
Саранск,Мордовия,54.1809332,45.1862632
Темников,Мордовия,54.6310583,43.2161099
Москва,Москва,55.7540471,37.620405
Апрелевка,Московская область,55.5276918,37.065143
Балашиха,Московская область,55.796389,37.938283
Белоозёрский,Московская область,55.4595766,38.4389742
Бронницы,Московская область,55.4255379,38.264145
Верея,Московская область,55.343369,36.185694
Видное,Московская область,55.551725,37.7061984
Волоколамск,Московская область,56.0356499,35.9585112
Высоковск,Московская область,56.3359513,36.5251837
Голицыно,Московская область,55.6190582,36.9856793
Дедовск,Московская область,55.8703276,37.1245043
Дзержинский,Московская область,55.6240869,37.8440276
Долгопрудный,Московская область,55.9385999,37.5101021
Домодедово,Московская область,55.4363283,37.7664984
Дрезна,Московская область,55.7443143,38.8498479
Дубна,Московская область,56.741786,37.1757223
Егорьевск,Московская область,55.3830113,39.0358317
Жуковский,Московская область,55.599803,38.1224298
Зарайск,Московская область,54.762456,38.8850978
Звенигород,Московская область,55.7297089,36.8554029
Ивантеевка,Московская область,55.9741665,37.9207539
Кашира,Московская область,54.853337,38.1904392
Коломна,Московская область,55.102814,38.7531002
Королёв,Московская область,55.9161773,37.8545415
Котельники,Московская область,55.6597925,37.8631156
Красноармейск,Московская область,56.105426,38.140838
Красногорск,Московская область,55.8317203,37.3295266
Краснозаводск,Московская область,56.4409979,38.2320307
Краснознаменск,Московская область,55.5978959,37.0393709
Кубинка,Московская область,55.5754955,36.6951995
Куровское,Московская область,55.5792277,38.9207723
Ликино-Дулёво,Московская область,55.7078257,38.9578093
Лобня,Московская область,56.0328881,37.4614035
Лосино-Петровский,Московская область,55.8713214,38.200599
Луховицы,Московская область,54.9652077,39.0260266
Лыткарино,Московская область,55.5778163,37.9033507
Люберцы,Московская область,55.676499,37.898125
Можайск,Московская область,55.5069259,36.024043
Мытищи,Московская область,55.9105782,37.7363579
Озёры,Московская область,54.8541006,38.5599196
Павловский Посад,Московская область,55.7807244,38.6596983
Пересвет,Московская область,56.4158326,38.1733534
Подольск,Московская область,55.4389322,37.5703482
Протвино,Московская область,54.8705984,37.2182749
Пушкино,Московская область,56.0103638,37.8471403
Пущино,Московская область,54.8324412,37.6210346
Раменское,Московская область,55.5495132,38.2728914
Реутов,Московская область,55.7582621,37.8618553
Рошаль,Московская область,55.6632776,39.8656147
Руза,Московская область,55.7014744,36.1959206
Серпухов,Московская область,54.9226466,37.4033859
Солнечногорск,Московская область,56.185102,36.977631
